food_code,food_description,method,method_description,nhanes,price_100gm
27510551,Hamburger (Burger King),2,Links to altEC,Base,2.164548
27510552,Whopper Jr (Burger King),2,Links to altEC,Base,2.164548
27510553,Hamburger (McDonalds),2,Links to altEC,Base,2.164548
27510565,"Hamburger, from school cafeteria (Includes school hamburger, nfs; any size patty, excluding miniature; plain or with condiments)",2,Links to altEC,Base,2.164548
27510575,"Hamburger, on white bun, 1 small patty (Includes homemade; bun, NFS; junior patty)",2,Links to altEC,Base,1.570383
27510601,"Hamburger, from fast food, 1 medium patty (Includes quarter pound patty)",2,Links to altEC,Base,2.164548
27510615,Whopper (Burger King),2,Links to altEC,Base,2.164548
27510631,"Hamburger, on white bun, 1 medium patty (Includes homemade; bun, NFS; white and other bread such as potato, Italian, and rye; bread, nfs; quarter pound patty)",4,FNDDS recipe with replaced or modified SR codes,Base,0.949758
27510632,"Hamburger, on wheat bun, 1 medium patty (Includes homemade; wheat bread; quarter pound patty)",2,Links to altEC,Base,2.164548
27510635,"Hamburger, on white bun, 1 large patty (Includes on bread or roll; NS as to grain; third pound size patty)",2,Links to altEC,Base,2.164548
27510671,"Double hamburger, from fast food, 2 medium patties (Includes quarter pound patty)",2,Links to altEC,Base,2.164548
27510700,Meatball and spaghetti sauce submarine sandwich (Includes Subway Meatball Sub; Jerry's Meatball Sub),2,Links to altEC,Base,1.199634
27510705,"Chiliburger, with or without cheese, on bun (Includes hamburger with chili; taco burger, any size patty; any source)",2,Links to altEC,Base,0.461463
27510910,Corned beef sandwich,4,FNDDS recipe with replaced or modified SR codes,Base,0.813848
27510950,"Reuben sandwich, corned beef sandwich with sauerkraut and cheese, with spread",1,Links to FNDDS,Base,2.336273
27513010,Roast beef sandwich (Includes Arby's Roast Beef Sandwich; Arby's Junior Roast Beef Sandwich; Hardee's Roast Beef Sandwich; RAX Roast Beef Sandwich; Roy Rogers Roast Beef Sandwich),1,Links to FNDDS,Base,1.567199
27513040,"Roast beef submarine sandwich, with lettuce, tomato and spread (Includes Arby's Super Roast Beef; Subway Roast Beef Sub; Jerry's Steak Sub)",2,Links to altEC,Base,1.897441
27513041,"Roast beef submarine sandwich, with cheese, lettuce, tomato and spread (Includes Subway Roast Beef Sub with cheese)",2,Links to altEC,Base,1.199634
27513050,Roast beef sandwich with cheese (Includes Arby's Beef and Cheddar; Arby's Beef 'N Swiss; Jack-in-the-Box Sirloin Cheesesteak),1,Links to FNDDS,Base,1.373383
